datapoint,attr_val,score
7568,1,1.0
7669,1,1.0
7399,1,1.0
5640,1,1.0
5682,1,1.0
7363,1,1.0
1736,1,1.0
925,1,1.0
7459,1,1.0
923,1,1.0
8250,1,1.0
7968,1,1.0
5116,1,1.0
5098,1,1.0
3276,1,1.0
6048,1,1.0
6084,1,1.0
1505,1,1.0
1424,1,1.0
6305,1,1.0
1212,1,1.0
6406,1,1.0
6806,1,1.0
6909,1,1.0
6995,1,1.0
6985,1,1.0
6971,1,1.0
4431,1,1.0
135,1,1.0
4444,1,1.0
8887,1,1.0
9367,1,1.0
9285,1,1.0
9288,1,1.0
9350,1,1.0
9306,1,1.0
3538,1,1.0
9417,1,1.0
9861,1,1.0
2483,1,1.0
9948,1,1.0
8343,1,1.0
8371,1,1.0
2041,1,1.0
422,1,1.0
8737,1,1.0
1996,1,1.0
5995,1,1.4142135623730951
6248,1,1.4142135623730951
5888,1,1.4142135623730951
2317,1,1.4142135623730951
3798,1,1.4142135623730951
3347,1,1.4142135623730951
4257,1,1.4142135623730951
6725,1,1.4142135623730951
8352,1,1.4142135623730951
7888,1,1.4142135623730951
9601,1,1.4142135623730951
9640,1,1.4142135623730951
9289,1,1.4142135623730951
8943,1,1.4142135623730951
2921,1,1.4142135623730951
7468,1,1.4142135623730951
9026,1,1.4142135623730951
1367,1,1.4142135623730951
3097,1,1.4142135623730951
3149,1,1.4142135623730951
6976,1,1.4142135623730951
4689,1,1.7320508075688772
3254,1,1.7320508075688772
2282,1,2.0
3190,1,2.23606797749979
6625,1,2.23606797749979
3906,1,2.23606797749979
6597,1,2.23606797749979
2891,1,2.23606797749979
3366,1,2.23606797749979
5599,1,2.23606797749979
1803,1,2.23606797749979
3349,1,2.23606797749979
7751,1,2.23606797749979
4969,1,2.23606797749979
4584,1,2.23606797749979
5915,1,2.23606797749979
1117,1,2.23606797749979
6941,1,2.23606797749979
6861,1,2.23606797749979
2935,1,2.449489742783178
356,1,2.449489742783178
4918,1,2.449489742783178
3624,1,2.449489742783178
7177,1,2.449489742783178
9114,1,2.6457513110645907
1544,1,2.8284271247461903
8507,1,2.8284271247461903
9895,1,2.8284271247461903
3206,1,3.0
4461,1,3.3166247903554
3789,1,3.3166247903554
3232,1,3.3166247903554
484,1,3.3166247903554
2704,1,3.3166247903554
4626,1,3.4641016151377544
9325,1,3.741657386773941
7335,1,3.741657386773941
2122,1,3.741657386773941
7986,1,3.8729833462074175
5522,1,4.0
2201,1,4.58257569495584
7777,1,5.0990195135927845
102,1,5.0990195135927845
9437,1,5.385164807134505
1409,1,5.385164807134505
5141,1,7.0
4007,1,7.14142842854285
6220,1,9.110433579144301
136,1,10.583005244258363
3423,1,11.04536101718726
4430,1,12.449899597988733
7352,1,13.341664064126336
7257,1,16.15549442140351
2323,1,16.30950643030009
8877,1,16.431676725154983
1959,1,18.027756377319946
1930,1,19.02629759044045
191,1,19.104973174542803
1388,1,22.02271554554524
1310,1,22.11334438749598
3294,1,25.019992006393608
9392,1,26.019223662515373
4076,1,27.202941017470888
3913,1,28.24889378365107
1530,1,30.0
6303,1,30.01666203960727
3884,1,31.032241298365804
3431,1,34.0
3855,1,35.014282800023196
433,1,35.156791662493895
3685,1,35.18522417151837
6966,1,36.02776706930364
3202,1,36.069377593742864
789,1,36.15245496505044
4684,1,37.013511046643494
8195,1,37.02701716314724
3733,1,37.04051835490427
5639,0,1.0
1314,1,37.40320841853009
5683,0,1.0
7491,1,38.06573262134856
5991,0,1.0
2593,0,1.0
1277,1,38.11823710509184
