datapoint,attr_val,score
11,1,0.00024038286905514282
6374,1,0.0004372751669278399
4274,1,0.0007233545606462518
4402,1,0.0008012115171636768
3423,1,0.0010676156583629905
8322,1,0.0011242028436342544
2149,1,0.0012619490383271475
3475,1,0.0013733693709540506
4408,1,0.0017745730662243183
7908,1,0.0019373922224232227
1980,1,0.0019649730417877578
1486,1,0.002009054032108602
4720,1,0.002289860150533829
8587,1,0.002580071174377224
619,1,0.002580598608635197
2018,1,0.002832801563382398
4285,1,0.002967740598751429
4873,1,0.003362190472066504
9464,1,0.0039315720160228535
9562,1,0.00407519606801982
8051,1,0.00431658339474563
1883,1,0.005006296595369602
4357,1,0.005053303122657205
9981,1,0.005091673544602193
586,1,0.005099119462394705
8389,1,0.005282968483858282
6428,1,0.005393134466124806
8610,1,0.005516118559591885
40,1,0.005524485514985756
6667,1,0.005802500414644177
3840,1,0.0062661920335487275
119,1,0.006508257820641889
564,1,0.006517357694891935
5735,1,0.006876051578710263
1341,1,0.006929227705322891
1765,1,0.007051117223461767
7347,1,0.007079555019908484
2769,1,0.007220628674278956
2608,1,0.007348492975570689
2678,1,0.0073928413196829214
7022,1,0.007952758913412567
1582,1,0.00795703342142212
5733,1,0.008214332797771909
1987,1,0.008343741177662801
7044,1,0.008418014623326591
8768,1,0.008460887956110587
4427,1,0.008778541955505292
3294,1,0.008850229787493032
8885,1,0.00887170299266673
6664,1,0.008952783334793355
3351,1,0.00896379141817651
9055,1,0.009197127017517112
4859,1,0.009398780074508437
4540,1,0.009470504500053215
2438,1,0.009746561094925991
1789,1,0.009853267565041944
5019,1,0.0108656909861281
8776,1,0.01258642958859052
1354,1,0.01286510648611976
3704,1,0.01325622775800712
9333,1,0.01537214846958932
6213,1,0.015453814127168038
2946,1,0.01585103989813243
1080,1,0.016666666666666666
8288,1,0.016666666666666666
6995,1,0.016666666666666666
677,1,0.016666666666666666
6026,1,0.016666666666666666
7866,1,0.016666666666666666
3875,1,0.016666666666666666
8169,1,0.016666718193921803
627,1,0.016682054361066238
4808,1,0.016726981740699604
7922,1,0.016774217695697976
6337,1,0.016777919443865252
5203,0,0.00015555123468792537
8201,1,0.01678748513968702
3293,0,0.0005094827260348851
7847,0,0.0007089948300428336
7627,1,0.016806566855673086
4325,0,0.000808000053332111
8086,1,0.01683447790535586
1906,0,0.0012320609818936212
7793,1,0.01684531479596758
4418,0,0.0012808366916602725
1149,1,0.01687072330348759
4825,0,0.0013209604566393235
7428,1,0.016904362824579872
7427,0,0.0013345195729537367
8213,0,0.0014027801323782782
5874,1,0.016938362111642343
2229,0,0.0016171706043504553
9080,1,0.017079621294866138
343,0,0.002004617074357152
4444,1,0.01709147707132051
6572,0,0.0020474452234048933
1509,1,0.017121559913990864
5221,0,0.0023290225894809923
1736,1,0.01738240347168021
3630,0,0.002396921722934597
3922,0,0.002601885020789755
4346,1,0.017541168336353538
8321,0,0.002972422845834613
1456,1,0.017605078089331955
7360,0,0.0031211877832111328
891,1,0.01773612056502791
4136,0,0.0036159694168177796
3148,1,0.01779953437513963
4187,0,0.0036839301761962
754,1,0.01781736868848674
5618,0,0.003881925703304215
4237,1,0.01797001227476316
4522,0,0.003913642269804104
4096,0,0.003925603048224075
3289,1,0.018825
9167,0,0.004089336904272072
1657,1,0.018844408150464783
4755,0,0.0042143704739969114
9154,1,0.019008960336950747
60,0,0.004576364949321621
1068,1,0.019029654751070855
252,0,0.004707399505345371
7412,1,0.01936875576573073
1232,0,0.004713266053703944
2147,0,0.004935140888525032
1707,1,0.01937617320919689
5336,0,0.005306158088811554
3316,1,0.019661431187325253
6402,0,0.005515733259758522
3959,1,0.019672653640843515
4671,0,0.005755380827203714
6959,1,0.01975750492558679
1467,0,0.005932696728265673
3212,1,0.020199274152589358
3723,0,0.006134060099208797
946,1,0.020244272451446426
4995,0,0.0062350215766074435
6385,0,0.006361696225763915
2895,1,0.02054229315808688
9821,0,0.006489816934296709
493,1,0.020796422224574045
4874,0,0.0065817184132951605
8286,1,0.020941264286918417
9492,0,0.007180382287089795
2278,1,0.02174118261012077
1150,0,0.007364474247071544
8040,1,0.02275618890202241
4416,0,0.007555485970878852
6115,1,0.023038604879540358
2796,0,0.007570610433178181
3908,0,0.007943452818874161
1525,1,0.023484492187981484
1376,0,0.008105824306265842
1030,1,0.02366306501523785
3434,0,0.008315684348368024
1584,1,0.02378467741935484
480,0,0.008384402437826108
4868,1,0.023894088218758186
