datapoint,attr_val,score
5380,1,1.0
5419,1,1.0
7536,1,1.0
3337,1,1.0
2981,1,1.0
8123,1,1.0
1977,1,1.0
620,1,1.0
7325,1,1.0
6670,1,1.0
6046,1,1.0
6623,1,1.0
6377,1,1.0
6405,1,1.0
1633,1,1.0
3137,1,1.0
6824,1,1.0
6784,1,1.0
5808,1,1.0
1123,1,1.0
1160,1,1.0
5825,1,1.0
8086,1,1.0
8960,1,1.0
4444,1,1.0
9285,1,1.0
4141,1,1.0
2851,1,1.0
8764,1,1.0
3738,1,1.0
9948,1,1.0
9907,1,1.0
546,1,1.0
2035,1,1.0
2400,1,1.0
9765,1,1.0
2118,1,1.0
3765,1,1.0
8735,1,1.0
3787,1,1.0
8758,1,1.0
4514,1,1.0
2398,1,1.0
2091,1,1.0
2931,1,1.0
3655,1,1.0
3832,1,1.4142135623730951
3801,1,1.4142135623730951
3857,1,1.4142135623730951
4518,1,1.4142135623730951
5178,1,1.4142135623730951
1774,1,1.4142135623730951
4989,1,1.4142135623730951
1671,1,1.4142135623730951
5596,1,1.4142135623730951
6725,1,1.4142135623730951
657,1,1.4142135623730951
8227,1,1.4142135623730951
596,1,1.4142135623730951
7764,1,1.4142135623730951
7713,1,1.4142135623730951
7290,1,1.4142135623730951
6439,1,1.4142135623730951
3248,1,1.4142135623730951
7315,1,1.4142135623730951
3097,1,1.4142135623730951
984,1,1.4142135623730951
6414,1,1.4142135623730951
2895,1,1.7320508075688772
3937,1,2.23606797749979
3670,1,2.23606797749979
2730,1,2.23606797749979
3695,1,2.23606797749979
2233,1,2.23606797749979
3892,1,2.23606797749979
5732,1,2.23606797749979
7188,1,2.23606797749979
7818,1,2.23606797749979
7239,1,2.23606797749979
3338,1,2.23606797749979
5406,1,2.23606797749979
7299,1,2.23606797749979
4613,1,2.23606797749979
9058,1,2.23606797749979
4450,1,2.23606797749979
8981,1,2.23606797749979
4918,1,2.449489742783178
1909,1,2.449489742783178
262,1,2.449489742783178
976,1,2.8284271247461903
4573,1,2.8284271247461903
474,1,2.8284271247461903
3853,1,2.8284271247461903
337,1,2.8284271247461903
9234,1,3.0
7842,1,3.1622776601683795
4461,1,3.3166247903554
3898,1,3.3166247903554
6382,1,3.3166247903554
7027,1,3.3166247903554
5414,1,3.3166247903554
818,1,3.3166247903554
1285,1,3.741657386773941
4569,1,4.123105625617661
4413,1,5.0990195135927845
26,1,5.0990195135927845
6146,1,6.164414002968977
836,1,7.0
