datapoint,attr_val,score
9198,1,1.0
3035,1,1.0
2124,1,1.0
6959,1,1.0
1547,1,1.0
8758,1,1.0
8557,1,1.0
6539,1,1.0
4676,1,1.0
4857,1,1.0
6428,1,1.0
986,1,1.0
1046,1,1.0
8887,1,1.0
1212,1,1.0
2465,1,1.0
7522,1,1.0
8141,1,1.0
8111,1,1.0
2710,1,1.0
7866,1,1.0
2871,1,1.0
2674,1,1.0
7679,1,1.0
7910,1,1.0
2041,1,1.0
3738,1,1.0
7267,1,1.0
8343,1,1.0
1964,1,1.0
2054,1,1.0
7363,1,1.0
7459,1,1.0
7462,1,1.0
2093,1,1.0
2107,1,1.0
3422,1,1.0
5183,1,1.0
6140,1,1.0
5727,1,1.0
424,1,1.0
422,1,1.0
5724,1,1.0
5012,1,1.0
5001,1,1.0
6046,1,1.0
143,1,1.0
9370,1,1.0
5376,1,1.0
9466,1,1.0
9617,1,1.0
376,1,1.0
5035,1,1.0
6377,1,1.0
5889,1,1.0
9310,1,1.0
9330,1,1.0
9907,1,1.0
5808,1,1.0
4907,1,1.0000000000000002
4720,1,1.0000000000000002
3008,1,1.4142135623730951
4495,1,1.4142135623730951
4527,1,1.4142135623730951
3862,1,2.0
4580,1,2.0
984,1,2.0
5652,1,2.0
51,1,2.0
278,1,2.0
187,1,2.0
260,1,2.0
4518,1,2.0
4513,1,2.0
9803,1,2.0
2219,1,2.0
705,1,2.0
6725,1,2.0
7922,1,2.0
2746,1,2.0
2992,1,2.0
9917,1,2.0
3863,1,2.0
3859,1,2.0
1486,1,2.0
4161,1,2.0
5479,1,2.0
6893,1,2.0
8467,1,2.0
7184,1,2.0
1513,1,2.0
3774,1,2.0
9672,1,2.0
2014,1,2.0
5275,1,2.000000000000001
7285,0,1.0
6085,1,2.000000000000001
4168,0,1.0
6747,1,2.000000000000001
4159,0,1.0
3505,1,2.23606797749979
7209,0,1.0
4450,1,2.23606797749979
1191,0,1.0
3190,1,2.23606797749979
9068,0,1.0
3110,0,1.0
3024,1,2.23606797749979
1860,0,1.0
3821,1,2.23606797749979
3677,0,1.0
3892,1,2.23606797749979
5639,0,1.0
6255,1,2.23606797749979
745,0,1.0
123,1,2.23606797749979
9502,0,1.0
332,1,2.23606797749979
5832,0,1.0
9683,1,2.23606797749979
83,0,1.0
1465,1,2.23606797749979
79,0,1.0000000000000002
1184,1,2.23606797749979
6132,0,1.4142135623730951
7256,0,1.4142135623730951
2558,1,2.23606797749979
5788,0,1.4142135623730951
2185,1,2.23606797749979
3817,0,2.0
2237,1,2.23606797749979
902,0,2.0
