,time
0,20.03560495376587
1,18.9145290851593
2,13.524534225463867
3,17.470953941345215
4,17.658705711364746
5,14.679201126098633
6,17.781923055648804
7,18.26415491104126
8,18.21924090385437
9,16.406274795532227
10,14.44734501838684
11,12.037684917449951
12,17.11352300643921
13,19.04745101928711
14,11.041926860809326
15,17.103561878204346
16,18.95813775062561
17,14.568942070007324
18,20.045171976089478
19,19.616361141204834
20,12.977867126464844
21,21.48299288749695
22,21.277762174606323
23,13.572245121002197
24,15.135941982269287
25,18.295961141586304
26,20.368113040924072
27,33.24064493179321
28,19.2133309841156
29,19.66291618347168
30,20.659340143203735
31,17.324726104736328
32,12.835156917572021
33,18.82096791267395
34,15.975976943969727
35,12.989728927612305
36,10.711311101913452
37,9.994355916976929
38,10.246989011764526
39,14.24646782875061
40,17.07365393638611
41,9.01365613937378
42,15.805767297744751
43,15.959534168243408
44,7.785083055496216
45,17.82645583152771
46,14.463903903961182
47,12.467558145523071
48,15.698951959609985
49,17.46527886390686
50,12.796382904052734
51,14.79590392112732
52,14.471023082733154
53,14.92642593383789
54,16.47237801551819
55,17.734100818634033
56,13.607253789901733
57,17.807934999465942
58,18.194220781326294
59,12.310745000839233
60,17.69589924812317
61,17.758314847946167
62,14.426154136657715
63,18.376519918441772
64,16.130125045776367
65,12.482872009277344
66,16.159629821777344
67,15.697878122329712
68,16.58626389503479
69,13.426801919937134
70,12.565025091171265
71,15.02164888381958
72,13.326952934265137
73,21.20380187034607
74,18.49591612815857
75,13.753098011016846
76,20.708060026168823
77,26.757090091705322
78,21.621666193008423
79,23.19247817993164
80,15.264928102493286
81,16.877983331680298
82,19.52017879486084
83,17.2011079788208
84,14.258727788925171
85,16.65558910369873
86,18.179070949554443
87,27.397499084472656
88,25.10111904144287
89,27.49281597137451
90,18.68252396583557
91,18.058473825454712
92,29.736528158187866
93,18.546525955200195
94,17.482892990112305
95,16.169360876083374
96,18.698951244354248
97,18.276156902313232
98,16.8627610206604
99,21.704015254974365
100,19.674470901489258
101,12.146887063980103
102,18.144007205963135
103,18.189584970474243
104,14.762685775756836
105,19.832648038864136
106,14.80302119255066
107,16.536170959472656
108,22.108625888824463
109,24.085691213607788
110,18.09987497329712
111,28.765061140060425
112,29.430585861206055
113,21.10311985015869
114,24.1206111907959
115,23.16773295402527
116,13.868951082229614
117,17.986348867416382
118,20.043315887451172
119,17.560964822769165
120,25.10443115234375
121,19.236625909805298
122,14.346543312072754
123,19.696027994155884
124,17.989672899246216
125,12.883778095245361
126,17.91930389404297
127,17.43345284461975
128,20.376556158065796
129,18.208982944488525
130,20.50381112098694
131,10.240514993667603
132,25.368303775787354
133,24.84182620048523
134,16.625999212265015
135,18.569291830062866
136,21.876808881759644
137,25.9335880279541
138,18.102568864822388
139,20.99798607826233
140,14.195248126983643
141,16.393059015274048
142,19.815037965774536
143,13.543077230453491
144,16.882368087768555
145,15.402107238769531
146,12.134193897247314
147,14.73163914680481
148,18.40478515625
149,17.903477907180786
