,time
0,1.446235179901123
1,1.3815369606018066
2,9.400126934051514
3,2.52731990814209
4,22.65240502357483
5,4.890130996704102
6,1.6473290920257568
7,1.5838980674743652
8,1.6999881267547607
9,2.342643976211548
10,1.448957920074463
11,2.229138135910034
12,1.8222787380218506
13,1.455625057220459
14,2.0108871459960938
15,1.4125943183898926
16,1.4376518726348877
17,1.061349868774414
18,0.9883661270141602
19,13.937933921813965
20,1.328822135925293
21,0.7799642086029053
22,155.7789487838745
23,1.413827896118164
24,1.6003329753875732
25,11.373953104019165
26,1.4452590942382812
27,2.8176703453063965
28,14.691710948944092
29,1.5506460666656494
30,1.2497892379760742
31,23.41236114501953
32,1.070840835571289
33,0.8830721378326416
34,18.804767847061157
35,1.5743577480316162
36,1.4139909744262695
37,14.18548321723938
38,2.1982691287994385
39,1.3943569660186768
40,1.4008188247680664
41,2.121824026107788
42,0.7789351940155029
43,11.104129076004028
44,1.4002597332000732
45,0.8088791370391846
46,0.7894158363342285
47,0.7527539730072021
48,1.449794054031372
49,14.021681070327759
50,5.7169599533081055
51,3.4226491451263428
52,14.665297031402588
53,2.227773904800415
54,1.4153590202331543
55,14.773149967193604
56,0.7401320934295654
57,1.4935550689697266
58,19.748589038848877
59,0.7954881191253662
60,1.4355683326721191
61,16.081987857818604
62,0.7847368717193604
63,1.4384708404541016
64,1.5311028957366943
65,4.954151153564453
66,1.4446358680725098
67,1.3432679176330566
68,1.6058940887451172
69,2.065013885498047
70,1.8897171020507812
71,1.4568226337432861
72,4.729749917984009
73,15.639124155044556
74,1.3954589366912842
75,2.7105212211608887
76,16.603407859802246
77,9.753408908843994
78,1.5114848613739014
79,1.4623432159423828
80,1.921389102935791
81,1.709488868713379
82,15.285125970840454
83,1.4667167663574219
84,1.2558050155639648
85,10.12401032447815
86,0.9029099941253662
87,1.4756848812103271
88,2.275156021118164
89,4.421137809753418
90,1.417029857635498
91,2.151409864425659
92,2.2641899585723877
93,1.1875519752502441
94,1.2442328929901123
95,1.8267598152160645
96,1.3957910537719727
97,14.712052345275879
98,2.959331750869751
99,0.7569699287414551
100,15.20075798034668
101,1.494800090789795
102,0.7949542999267578
103,10.953148126602173
104,0.7894108295440674
105,1.5400612354278564
106,12.277559041976929
107,0.8809981346130371
108,7.0411882400512695
109,1.667038917541504
110,1.4872260093688965
111,1.348221778869629
112,1.3393630981445312
113,1.2919559478759766
114,2.7340810298919678
115,17.931243896484375
116,1.436117172241211
117,5.899263143539429
118,2.1482391357421875
119,7.6449761390686035
120,1.57430100440979
121,24.44055485725403
122,1.8972220420837402
123,2.1143548488616943
124,1.699064016342163
125,1.8125717639923096
126,9.812414169311523
127,0.7984201908111572
128,0.7957022190093994
129,1.5867631435394287
130,1.4634640216827393
131,1.5078561305999756
132,1.698763132095337
133,15.53557801246643
134,1.315263032913208
135,3.6904587745666504
136,13.321336030960083
137,2.072463035583496
138,1.6669540405273438
139,17.77376914024353
140,2.5690090656280518
141,2.5584497451782227
142,16.562980890274048
143,1.1800522804260254
144,1.5315320491790771
145,15.387273788452148
146,1.3512301445007324
147,1.2274820804595947
148,1.3597931861877441
149,2.3905699253082275
