,time
0,0.0003991127014160156
1,0.000415802001953125
2,0.0003330707550048828
3,0.0005109310150146484
4,0.0004649162292480469
5,0.0004208087921142578
6,0.0003898143768310547
7,0.0003561973571777344
8,0.0014138221740722656
9,0.0003371238708496094
10,0.0003142356872558594
11,0.0003628730773925781
12,0.0017271041870117188
13,0.0005121231079101562
14,0.000347137451171875
15,0.00034499168395996094
16,0.0020570755004882812
17,0.0003414154052734375
18,0.0005428791046142578
19,0.00032210350036621094
20,0.0006041526794433594
21,0.0003502368927001953
22,0.0005137920379638672
23,0.0004329681396484375
24,0.000659942626953125
25,0.00035190582275390625
26,0.00036025047302246094
27,0.00044274330139160156
28,0.0016400814056396484
29,0.0003590583801269531
30,0.00040435791015625
31,0.00030684471130371094
32,0.0007879734039306641
33,0.0003018379211425781
34,0.0003647804260253906
35,0.0003190040588378906
36,0.0007910728454589844
37,0.0003311634063720703
38,0.0003418922424316406
39,0.00031113624572753906
40,0.0007469654083251953
41,0.0003829002380371094
42,0.00039887428283691406
43,0.00033211708068847656
44,0.0017437934875488281
45,0.0003180503845214844
46,0.0003540515899658203
47,0.00037026405334472656
48,0.0006830692291259766
49,0.0003287792205810547
50,0.00035309791564941406
51,0.00034308433532714844
52,0.0016460418701171875
53,0.00034999847412109375
54,0.00033092498779296875
55,0.0004279613494873047
56,0.0015149116516113281
57,0.0003497600555419922
58,0.00034618377685546875
59,0.0003368854522705078
60,0.0018241405487060547
61,0.00037598609924316406
62,0.0003559589385986328
63,0.0003647804260253906
64,0.0020842552185058594
65,0.0003490447998046875
66,0.0003991127014160156
67,0.00034928321838378906
68,0.0006110668182373047
69,0.0003540515899658203
70,0.0003180503845214844
71,0.0003597736358642578
72,0.000827789306640625
73,0.0003571510314941406
74,0.0003662109375
75,0.00033926963806152344
76,0.0007119178771972656
77,0.0003437995910644531
78,0.00039386749267578125
79,0.0003330707550048828
80,0.0015630722045898438
81,0.0003380775451660156
82,0.0003819465637207031
83,0.00043892860412597656
84,0.00179290771484375
85,0.0004241466522216797
86,0.0004909038543701172
87,0.0003421306610107422
88,0.0007398128509521484
89,0.00036025047302246094
90,0.0003390312194824219
91,0.00036907196044921875
92,0.0007431507110595703
93,0.0004291534423828125
94,0.00041294097900390625
95,0.0004050731658935547
96,0.0007643699645996094
97,0.0003552436828613281
98,0.0003209114074707031
99,0.00034499168395996094
100,0.0016407966613769531
101,0.00032520294189453125
102,0.0003790855407714844
103,0.0005362033843994141
104,0.0007600784301757812
105,0.0003688335418701172
106,0.0003428459167480469
107,0.0003409385681152344
108,0.0007040500640869141
109,0.0003590583801269531
110,0.00034880638122558594
111,0.00036716461181640625
112,0.0018949508666992188
113,0.0003578662872314453
114,0.0005848407745361328
115,0.00033783912658691406
116,0.0017771720886230469
117,0.0003325939178466797
118,0.0003261566162109375
119,0.0003249645233154297
120,0.0014400482177734375
121,0.00043082237243652344
122,0.0009188652038574219
123,0.0004801750183105469
124,0.002183198928833008
125,0.0003650188446044922
126,0.00034618377685546875
127,0.0004439353942871094
128,0.0006589889526367188
129,0.0003261566162109375
130,0.0003731250762939453
131,0.00030303001403808594
132,0.0008587837219238281
133,0.00036907196044921875
134,0.0003101825714111328
135,0.0003173351287841797
136,0.0013172626495361328
137,0.0006690025329589844
138,0.00037479400634765625
139,0.0005240440368652344
140,0.0012822151184082031
141,0.0003070831298828125
142,0.0005679130554199219
143,0.0004277229309082031
144,0.0016200542449951172
145,0.0003306865692138672
146,0.00038814544677734375
147,0.00036787986755371094
148,0.0006480216979980469
149,0.0005269050598144531
150,0.0003838539123535156
151,0.0003809928894042969
152,0.0006871223449707031
153,0.0003268718719482422
154,0.00030422210693359375
155,0.0003330707550048828
156,0.0017740726470947266
157,0.0004239082336425781
158,0.00033211708068847656
159,0.00037598609924316406
160,0.0007338523864746094
161,0.00035691261291503906
162,0.0005838871002197266
163,0.00033092498779296875
164,0.001880645751953125
165,0.0003249645233154297
166,0.000335693359375
167,0.0003509521484375
168,0.0009188652038574219
169,0.0003371238708496094
170,0.00038909912109375
171,0.0003361701965332031
172,0.0007729530334472656
173,0.00037789344787597656
174,0.0005059242248535156
175,0.0003578662872314453
176,0.0018699169158935547
177,0.00035572052001953125
178,0.0003600120544433594
179,0.0010039806365966797
180,0.0018389225006103516
181,0.0003838539123535156
182,0.0003802776336669922
183,0.0003540515899658203
184,0.001461029052734375
185,0.0012500286102294922
186,0.00042319297790527344
187,0.0003581047058105469
188,0.0007958412170410156
189,0.00034499168395996094
190,0.0003559589385986328
191,0.0003681182861328125
192,0.0007338523864746094
193,0.00033783912658691406
194,0.0003490447998046875
195,0.0003440380096435547
196,0.0016891956329345703
197,0.0003330707550048828
198,0.0003459453582763672
199,0.0003838539123535156
