,time
0,0.00047516822814941406
1,0.00030803680419921875
2,0.0003838539123535156
3,0.00047898292541503906
4,0.00042891502380371094
5,0.00034308433532714844
6,0.0004086494445800781
7,0.00033473968505859375
8,0.0006887912750244141
9,0.0003299713134765625
10,0.00040984153747558594
11,0.0005331039428710938
12,0.0013599395751953125
13,0.00036907196044921875
14,0.0003390312194824219
15,0.0005438327789306641
16,0.0018513202667236328
17,0.00039076805114746094
18,0.0013000965118408203
19,0.00033283233642578125
20,0.0007238388061523438
21,0.0004069805145263672
22,0.00040078163146972656
23,0.0003330707550048828
24,0.0006251335144042969
25,0.00045490264892578125
26,0.00032782554626464844
27,0.0003910064697265625
28,0.000881195068359375
29,0.0003268718719482422
30,0.00037980079650878906
31,0.000476837158203125
32,0.0008170604705810547
33,0.00041294097900390625
34,0.00047397613525390625
35,0.00034308433532714844
36,0.001722097396850586
37,0.0003440380096435547
38,0.00041484832763671875
39,0.00043892860412597656
40,0.0007531642913818359
41,0.0005288124084472656
42,0.0003330707550048828
43,0.0014841556549072266
44,0.0007233619689941406
45,0.0004410743713378906
46,0.0004630088806152344
47,0.000431060791015625
48,0.001840829849243164
49,0.00045490264892578125
50,0.00040411949157714844
51,0.0004019737243652344
52,0.0007870197296142578
53,0.00042510032653808594
54,0.0003609657287597656
55,0.00036597251892089844
56,0.0008666515350341797
57,0.00033593177795410156
58,0.0003330707550048828
59,0.0003342628479003906
60,0.0008440017700195312
61,0.0004239082336425781
62,0.0004069805145263672
63,0.00040030479431152344
64,0.0009188652038574219
65,0.0004069805145263672
66,0.00033092498779296875
67,0.00041604042053222656
68,0.0010111331939697266
69,0.0003330707550048828
70,0.0003199577331542969
71,0.0003528594970703125
72,0.001065969467163086
73,0.00033283233642578125
74,0.00043582916259765625
75,0.0003299713134765625
76,0.0007302761077880859
77,0.0003650188446044922
78,0.00045013427734375
79,0.00041794776916503906
80,0.0022270679473876953
81,0.00043010711669921875
82,0.00047016143798828125
83,0.0004050731658935547
84,0.0018680095672607422
85,0.00032806396484375
86,0.0003650188446044922
87,0.0006866455078125
88,0.0008070468902587891
89,0.0003409385681152344
90,0.0003249645233154297
91,0.0003218650817871094
92,0.0006401538848876953
93,0.00031185150146484375
94,0.0002949237823486328
95,0.0003001689910888672
96,0.0006520748138427734
97,0.0003380775451660156
98,0.0003311634063720703
99,0.00032401084899902344
100,0.000682830810546875
101,0.0003268718719482422
102,0.00032401084899902344
103,0.0003330707550048828
104,0.0013408660888671875
105,0.0003161430358886719
106,0.00033402442932128906
107,0.00033092498779296875
108,0.0006520748138427734
109,0.000354766845703125
110,0.0003788471221923828
111,0.0003273487091064453
112,0.00081634521484375
113,0.0003561973571777344
114,0.0003292560577392578
115,0.0003330707550048828
116,0.0007250308990478516
117,0.00037384033203125
118,0.0003600120544433594
119,0.0003819465637207031
120,0.0007557868957519531
121,0.000431060791015625
122,0.00036215782165527344
123,0.00031304359436035156
124,0.0006899833679199219
125,0.0003249645233154297
126,0.00033092498779296875
127,0.0003509521484375
128,0.0006918907165527344
129,0.00033593177795410156
130,0.0004298686981201172
131,0.0003638267517089844
132,0.0006649494171142578
133,0.0005412101745605469
134,0.0003409385681152344
135,0.0003027915954589844
136,0.0008289813995361328
137,0.00032401084899902344
138,0.00033211708068847656
139,0.0003688335418701172
140,0.0017981529235839844
141,0.0006031990051269531
142,0.0004971027374267578
143,0.0003418922424316406
144,0.0031599998474121094
145,0.0003330707550048828
146,0.0005068778991699219
147,0.0003330707550048828
148,0.0008361339569091797
149,0.00044798851013183594
150,0.0003807544708251953
151,0.0004069805145263672
152,0.0009491443634033203
153,0.00044417381286621094
154,0.0004401206970214844
155,0.0004248619079589844
156,0.0007569789886474609
157,0.0003478527069091797
158,0.000453948974609375
159,0.0004811286926269531
160,0.0008952617645263672
161,0.0004248619079589844
162,0.0004248619079589844
163,0.0004439353942871094
164,0.0007600784301757812
165,0.0004150867462158203
166,0.0005497932434082031
167,0.0004830360412597656
168,0.0007529258728027344
169,0.00043129920959472656
170,0.0004291534423828125
171,0.00040793418884277344
172,0.0013110637664794922
173,0.0004100799560546875
174,0.00041294097900390625
175,0.0003330707550048828
176,0.0008740425109863281
177,0.00041294097900390625
178,0.0004181861877441406
179,0.000354766845703125
180,0.0008478164672851562
181,0.0003838539123535156
182,0.0004649162292480469
183,0.0006721019744873047
184,0.0008749961853027344
185,0.0005230903625488281
186,0.0004150867462158203
187,0.00032591819763183594
188,0.0007100105285644531
189,0.0003142356872558594
190,0.0005288124084472656
191,0.00044536590576171875
192,0.0007431507110595703
193,0.0004241466522216797
194,0.0006771087646484375
195,0.0003237724304199219
196,0.0007312297821044922
197,0.0003561973571777344
198,0.00041866302490234375
199,0.0006487369537353516
