,datapoint,attr_val,score
,85,0,1.0
,7381,1,1.0
,3632,1,1.0
,3271,1,1.0
,4828,0,1.0
,3875,1,1.0
,9344,1,2.0
,7960,1,2.0
,299,1,2.0
,7406,0,2.0
,7570,0,2.0
,6662,1,2.0
,8289,1,2.0
,1177,1,2.0000000000000004
,3880,1,2.23606797749979
,7014,1,2.23606797749979
,5740,0,2.9999999999999987
,8190,0,2.9999999999999987
,7728,0,3.0
,1827,1,3.0
,4124,1,3.0
,2504,1,3.0
,2296,0,3.6055512754639887
,6322,0,4.0
,3564,1,4.0
,6947,1,4.0
,1430,1,5.0
,4772,0,5.0
,570,1,5.0
,9997,1,5.0
,866,1,5.385164807134505
,3560,0,10.0
,4840,1,13.152946437965904
,4892,1,21.02379604162864
,4136,0,32.062439083762804
,1054,1,41.04875150354759
,3820,1,45.28796749689701
,567,0,158.07909412695912
,3242,1,190.07630046904845
,9,1,330.03939158833754
,8575,0,520.0
,3458,1,1268.365483604785
,2452,1,2211.4474897677314
,1410,0,2280.0002192982347
,4407,0,2510.0
,3096,1,2580.000775193682
,2788,1,2650.0001886792384
,825,1,4750.001684210229
,413,1,7012.1418268600355
,1339,1,7025.037437622664
