,datapoint,attr_val,score
,6959,1,1.0
,986,1,1.0
,1046,1,1.0
,8887,1,1.0
,9068,0,1.0
,2710,1,1.0
,9617,1,1.0
,5889,1,1.0
,9502,0,1.0
,5808,1,1.0
,83,0,1.0
,3008,1,1.4142135623730951
,4495,1,1.4142135623730951
,7466,0,2.0
,4518,1,2.0
,5056,0,2.0
,9917,1,2.0
,1588,0,2.0
,3197,0,2.23606797749979
,1331,1,2.23606797749979
,1485,0,2.8284271247461903
,2129,0,2.8284271247461903
,1361,0,2.9999999999999987
,585,0,3.0
,5680,0,3.0
,3006,0,3.1622776601683795
,1109,1,4.0
,7101,1,4.0
,907,1,4.0
,6322,0,4.0
,2956,1,5.0
,1795,1,5.0
,1968,1,5.0990195135927845
,4731,1,5.385164807134505
,2601,1,5.830951894845301
,5689,0,30.01666203960727
,4803,1,30.28200785945344
,108,1,157.0827807240501
,2239,1,162.04937519163718
,4121,0,169.08577704821894
,9334,1,306.04084694693944
,6738,1,390.0
,2204,1,1040.0076922792448
,2800,1,2050.0
,8193,1,2471.804603928069
,5031,0,2490.0
,1439,1,2938.6484988851594
,1841,0,3796.673148955543
,8191,1,8670.307087987137
,1738,0,9740.108674958406
