,datapoint,attr_val,score
,9288,1,0.0005847662805592483
,4825,0,0.0013209604566393235
,7427,0,0.0013345195729537367
,5014,0,0.0014170438889982288
,2674,1,0.0015135530198019493
,1980,1,0.0019649730417877578
,2485,1,0.00503714010521955
,3055,0,0.005230478710833788
,8389,1,0.005282968483858282
,6402,0,0.005515733259758522
,7413,0,0.005745868124829162
,3723,0,0.006134060099208797
,3683,1,0.006700606631756079
,3263,1,0.0077361550084006124
,1686,0,0.00843176055528049
,949,0,0.008623926046590277
,7564,1,0.012917156779818641
,5980,0,0.016666666666666666
,7334,0,0.016666666666666666
,6026,1,0.016666666666666666
,7845,1,0.016666666666666666
,7444,1,0.016666750691498745
,2166,1,0.01674020784361997
,5874,1,0.016938362111642343
,7466,0,0.017095075278231092
,5790,0,0.017142058894974544
,6959,1,0.01975750492558679
,6342,0,0.020015797142344992
,946,1,0.020244272451446426
,2158,0,0.02189565733006788
,2698,1,0.02525910553354192
,2370,1,0.02549148397414032
,2855,1,0.03345233322750396
,4417,0,0.033487742717922986
,6080,1,0.03349496106715035
,5695,1,0.034007754395674814
,1142,0,0.03434211825598398
,3044,0,0.0372995879380968
,3747,1,0.04355036515585743
,7341,0,0.05002420448907788
,4486,0,0.050239872103297965
,2321,1,0.050907342927178766
,3990,0,0.050960646749489386
,3440,1,0.05172433023037353
,5209,0,0.05204739474402166
,8278,1,0.06654737168926428
,5309,1,0.06725909132911391
,5739,1,0.07323017366611949
,2867,1,0.08847022685557032
,5769,1,0.10080075933368016
