,datapoint,attr_val,score
,7758,0,0.00035577406680650694
,2674,1,0.0015135530198019493
,2749,1,0.002123731528468655
,4285,1,0.002967740598751429
,4136,0,0.0036159694168177796
,6090,0,0.0044420376837869206
,9898,1,0.004661838806318495
,317,0,0.00527840037004397
,4537,0,0.006536044623109614
,8929,1,0.007501213274508913
,8756,1,0.008309242740461768
,85,0,0.008823772290985438
,3294,1,0.008850229787493032
,6822,1,0.009848865897651828
,4310,1,0.0160740735613148
,627,1,0.016682054361066238
,9845,1,0.016779960903613098
,9998,1,0.016793999053626375
,6332,0,0.016814330876649648
,2157,0,0.017024960825896367
,7760,1,0.017359610356452768
,1736,1,0.01738240347168021
,7955,0,0.01747853536785176
,4585,0,0.017531951491613202
,6833,0,0.01785854216732614
,9338,1,0.018696389217482862
,3585,1,0.018913255587446942
,5951,0,0.02004892202620564
,9016,0,0.020064997447209063
,8043,1,0.02100314502146652
,6775,1,0.021503324411105192
,4207,0,0.02798407472114256
,5202,0,0.028032614296348613
,4624,0,0.033354202166122685
,6532,1,0.033509040254724204
,825,1,0.03369920731548254
,8600,0,0.035493781898391884
,2956,1,0.035747254267507966
,5599,1,0.050038867181917294
,53,1,0.05003909701375514
,4485,1,0.050075
,9566,0,0.050225160288239805
,2852,1,0.05054106513470594
,2998,1,0.05071706710696239
,1745,1,0.05139191704531805
,8882,1,0.06814321097387972
,921,0,0.06863196270004641
,3037,0,0.06914486492944723
,2408,0,0.07201928982879062
,2322,1,0.08696596293654876
