,datapoint,attr_val,score
,6619,1,1.0
,2617,1,1.0
,1220,0,1.0
,9081,1,1.0
,8546,1,1.0
,8735,1,1.0
,5870,0,1.4142135623730951
,4840,1,1.4142135623730951
,5009,1,1.4142135623730951
,5687,0,1.4142135623730951
,8646,1,1.4142135623730951
,1301,0,1.4142135623730951
,963,0,1.4142135623730951
,1255,1,1.4142135623730951
,7188,1,2.23606797749979
,7014,1,2.23606797749979
,3405,0,2.23606797749979
,2679,0,3.0
,5785,1,3.3166247903554
,1833,1,3.3166247903554
,3148,1,13.038404810405297
,7257,1,16.15549442140351
,3314,1,18.05547008526779
,3955,0,28.03569153775237
,3699,1,30.08321791298265
,4135,1,32.03123475609393
,8322,1,41.012193308819754
,2032,0,50.009999000199954
,4478,1,55.776339069537364
,1373,1,60.0
,3759,0,65.0
,2120,1,70.07139216541941
,9425,0,89.02808545621994
,2238,1,115.00869532344065
,1066,1,118.04236527620071
,7260,1,165.0
,2731,1,166.05119692432208
,4816,1,173.00578025025638
,249,1,204.00245096566852
,4236,0,209.06219170380857
,954,1,210.00952359357424
,2449,0,219.02282986026825
,3153,1,249.01204790130132
,1410,0,264.3955370273863
,3548,1,320.040622421592
,3326,0,337.0267051733437
,300,0,405.0061727924649
,1208,0,421.0035629302916
,540,1,446.0650176824002
,204,1,1041.0696422430153
