,datapoint,attr_val,score
,5344,0,1.0
,5832,0,1.0
,9479,0,1.0
,3655,1,1.0
,2900,0,1.0
,6999,1,1.0
,9048,0,1.4142135623730951
,9547,0,2.0
,3809,0,2.0
,7449,0,2.0
,6638,1,2.0
,6315,0,2.0
,4503,1,2.0
,2547,1,2.0000000000000004
,5078,1,2.000000000000001
,891,1,2.23606797749979
,3892,1,2.23606797749979
,5773,1,2.23606797749979
,3936,1,2.23606797749979
,4630,0,2.8284271247461903
,1625,0,2.9999999999999987
,2919,0,3.0
,279,0,3.0
,6957,0,3.1622776601683795
,7351,1,3.1622776601683795
,5695,1,4.0
,612,1,4.0
,4116,1,4.0
,1069,1,4.47213595499958
,1347,1,5.0
,4229,1,5.0990195135927845
,1298,1,5.0990195135927845
,8985,1,56.142675390472796
,3907,1,96.13012014972206
,3948,0,102.12247548899313
,616,1,221.05655384991417
,6572,0,290.0
,2959,1,400.03624835757074
,5277,1,473.02748334531265
,9441,0,554.0
,4429,1,560.0008928564309
,6664,1,570.0
,6106,0,630.0
,1412,0,676.6498355870634
,2951,0,920.0027173872912
,5489,0,970.0005154637804
,204,1,1202.0158068844187
,2740,1,1540.008441535305
,4710,0,1641.8224629965325
,324,0,2030.4989534594688
