,datapoint,attr_val,score
,4835,0,1.0
,8557,1,1.0
,209,1,1.0
,2348,0,1.0
,6981,1,1.0
,5727,1,1.0
,7823,1,1.0
,5219,1,1.0
,5376,1,1.0
,3203,0,1.4142135623730951
,78,1,1.4142135623730951
,7725,1,1.4142135623730951
,2251,0,1.4142135623730951
,4678,1,1.4142135623730951
,2317,1,1.4142135623730951
,2587,1,1.7320508075688772
,6216,0,1.7320508075688772
,1508,0,1.7320508075688772
,5732,1,2.23606797749979
,2830,0,2.23606797749979
,5271,1,2.449489742783178
,1926,1,2.8284271247461903
,1009,0,4.358898943540674
,2444,1,7.0
,2897,1,14.38749456993816
,219,1,27.0
,3558,1,36.124783736376884
,5986,0,37.05401462729781
,3288,0,41.0
,4927,1,50.039984012787215
,3000,1,51.0
,1389,1,66.06814663663572
,6149,1,69.0
,2149,1,79.0
,6059,1,83.07827634225448
,3774,1,87.00574693662483
,41,0,87.0114934936759
,3936,1,113.00884921102418
,4768,1,123.0690862889621
,6814,0,126.00396819148196
,5478,1,126.03570922560006
,1405,0,129.05812643921342
,6692,0,150.0
,423,1,166.01807130550574
,5298,0,221.00452484055612
,1461,0,409.0635647426938
,8403,0,500.4128295717447
,1483,0,829.0687546880536
,149,1,902.0066518601733
,8652,0,906.080018541409
