Dataset,User_N,SensitiveATT,Pro_N,Pro_percent,TargetAtt,Alpha,rKL,rND,rRD
credit,4804,attr_val,3064,64,score,3.4,0.029033131144856932,0.13671260035241223,0.024276094870088475
german,190,attr_val,78,41,score,3.5,0.028518536383666804,0.1555731408391548,0.26357198579830005
credit,4804,attr_val,3064,64,score,3.5,0.2585611652410419,0.2736928603301744,0.14923552674359453
german,190,attr_val,78,41,score,3.6,0.036606472046999766,0.172891200006261,0.291012198228128
credit,4804,attr_val,3064,64,score,3.6,0.3956419489236596,0.3665333058680542,0.22607408359730322
german,190,attr_val,78,41,score,3.7,0.03218602409351853,0.1648810518216235,0.274437574490428
credit,4804,attr_val,3064,64,score,3.7,0.4117553540137009,0.3794558342099374,0.2294325813912229
german,190,attr_val,78,41,score,3.8,0.05802082736731317,0.20811064892571934,0.33311604909272563
credit,4804,attr_val,3064,64,score,3.8,0.4697134958853615,0.3936437721405379,0.27879377578482634
german,190,attr_val,78,41,score,4.2,0.008047693048048381,0.05679152438774404,0.09746406652020269
credit,4804,attr_val,3064,64,score,4.2,0.012224388406622003,0.07775982707692145,0.0709437350994877
german,190,attr_val,78,41,score,4.3,0.02320023293947458,0.13480841156232135,0.22678553084037972
credit,4804,attr_val,3064,64,score,4.3,0.012392504636907787,0.08057819538786598,0.03851985686070491
german,190,attr_val,78,41,score,4.4,0.026757716981693755,0.14468300616602814,0.24413572095372235
credit,4804,attr_val,3064,64,score,4.4,0.05202466779650011,0.1652022346452556,0.010624025494168037
german,190,attr_val,78,41,score,4.5,0.02924083518415821,0.15987645594723937,0.27069272166559233
credit,4804,attr_val,3064,64,score,4.5,0.27311026785578396,0.28977015100796266,0.14923552674359453
german,190,attr_val,78,41,score,4.6,0.03939099341773003,0.17900816470179093,0.29663777316401047
credit,4804,attr_val,3064,64,score,4.6,0.39935721023179643,0.3693753763374351,0.22607408359730322
german,190,attr_val,78,41,score,4.7,0.0328176646234553,0.1658034372266475,0.274437574490428
credit,4804,attr_val,3064,64,score,4.7,0.4153473080559569,0.3826952130602078,0.2294325813912229
german,190,attr_val,78,41,score,4.8,0.058571844365049835,0.21609260698139404,0.33311604909272563
credit,4804,attr_val,3064,64,score,4.8,0.4752432427227106,0.4019045170317265,0.27879377578482634
german,190,attr_val,78,41,score,5.2,0.021610285459828734,0.12576725150574214,0.21161102488241593
credit,4804,attr_val,3064,64,score,5.2,0.012219915139712509,0.07753718737524075,0.07003354776534297
german,190,attr_val,78,41,score,5.3,0.02278169587691873,0.1346540528951039,0.22678553084037972
credit,4804,attr_val,3064,64,score,5.3,0.012775953613942152,0.08639017819235857,0.031043227919916608
german,190,attr_val,78,41,score,5.4,0.026662354017427486,0.1455283577260592,0.24413572095372235
credit,4804,attr_val,3064,64,score,5.4,0.16835108892497916,0.19311183160193574,0.09978778539151836
german,190,attr_val,78,41,score,5.5,0.031871103273272236,0.1680668368091929,0.2833992331768259
credit,4804,attr_val,3064,64,score,5.5,0.30800029818567437,0.3048160339798504,0.17792863818156884
german,190,attr_val,78,41,score,5.6,0.03987896878619767,0.17918188749789274,0.29663777316401047
credit,4804,attr_val,3064,64,score,5.6,0.4003679869291017,0.37235691806847326,0.22607408359730322
german,190,attr_val,78,41,score,5.7,0.0325597010038995,0.16319404650225955,0.274437574490428
credit,4804,attr_val,3064,64,score,5.7,0.45869751072396675,0.3867247841253188,0.27879377578482634
german,190,attr_val,78,41,score,5.8,0.05646967666190956,0.20619141420578885,0.33311604909272563
credit,4804,attr_val,3064,64,score,5.8,0.4793830032349009,0.4038927312482512,0.28202421484307505
german,190,attr_val,78,41,score,6.2,0.02090227042348532,0.12647577939852434,0.21344441963404154
credit,4804,attr_val,3064,64,score,6.2,0.012246576208794803,0.07744842105050033,0.06915371659727017
german,190,attr_val,78,41,score,6.3,0.022835433108915743,0.1336836921574718,0.22495997967687628
credit,4804,attr_val,3064,64,score,6.3,0.013428167048776547,0.09236138707258892,0.02577520193890246
german,190,attr_val,78,41,score,6.4,0.023597633526423942,0.13851108296957262,0.23311003172477596
credit,4804,attr_val,3064,64,score,6.4,0.173463798084746,0.20275966278971788,0.09978778539151836
german,190,attr_val,78,41,score,6.5,0.037488471039938784,0.1765835204830788,0.29791173564979934
credit,4804,attr_val,3064,64,score,6.5,0.35663246244370755,0.35863479956576916,0.1884423925655955
german,190,attr_val,78,41,score,6.6,0.03359974434518715,0.16832972064199797,0.27676707267711714
credit,4804,attr_val,3064,64,score,6.6,0.4032599168060413,0.3747596352202171,0.22607408359730322
german,190,attr_val,78,41,score,6.7,0.0328176646234553,0.16224927832285818,0.274437574490428
credit,4804,attr_val,3064,64,score,6.7,0.45997612617506123,0.3871613515825724,0.27879377578482634
german,190,attr_val,78,41,score,6.8,0.05724473933348378,0.20654653922739774,0.33311604909272563
credit,4804,attr_val,3064,64,score,6.8,0.47907517618177065,0.40238755488103994,0.28202421484307505
german,190,attr_val,78,41,score,7.2,0.021421924389526018,0.13175884038268815,0.2238637555076608
credit,4804,attr_val,3064,64,score,7.2,0.012290708489525433,0.07793889013662655,0.06907854087120387
german,190,attr_val,78,41,score,7.3,0.023619677614117818,0.13641238228212052,0.23109017770113396
credit,4804,attr_val,3064,64,score,7.3,0.013788957717773987,0.09527539917835182,0.024276094870088475
german,190,attr_val,78,41,score,7.4,0.023325851061761275,0.13495763985899656,0.22462433101153725
credit,4804,attr_val,3064,64,score,7.4,0.1806133430972429,0.2183524624008368,0.09978778539151836
german,190,attr_val,78,41,score,7.5,0.034728359341949205,0.16673686053342754,0.277376688230863
credit,4804,attr_val,3064,64,score,7.5,0.3941039992962115,0.36342568999342145,0.22607408359730322
german,190,attr_val,78,41,score,7.6,0.03359974434518715,0.16797984598609939,0.27676707267711714
credit,4804,attr_val,3064,64,score,7.6,0.4038001053610077,0.37554988247891713,0.22607408359730322
german,190,attr_val,78,41,score,7.7,0.030910197842928387,0.16272503913634548,0.274437574490428
credit,4804,attr_val,3064,64,score,7.7,0.4602857774093851,0.3858027702354067,0.27879377578482634
german,190,attr_val,78,41,score,7.8,0.05898395430168181,0.2071687384753719,0.33311604909272563
credit,4804,attr_val,3064,64,score,7.8,0.47981231037002914,0.40543073328503776,0.28202421484307505
