Dataset,User_N,SensitiveATT,Pro_N,Pro_percent,TargetAtt,Alpha,rKL,rND,rRD
german,190,attr_val,78,41,score,5.6,0.025293490071064097,0.07264906574119429,0.09964994313274837
credit,4804,attr_val,3064,64,score,5.6,0.023284420905228892,0.15324750266682996,0.2981382827345892
german,190,attr_val,78,41,score,5.7,0.025183799140209028,0.07329240020868767,0.09964994313274837
credit,4804,attr_val,3064,64,score,5.7,0.023284420905228892,0.15324750266682996,0.2981382827345892
german,190,attr_val,78,41,score,5.8,0.02452961489146352,0.07353832753858836,0.09964994313274837
credit,4804,attr_val,3064,64,score,5.8,0.023284420905228892,0.15324750266682996,0.2981382827345892
german,190,attr_val,78,41,score,6.2,0.0077779616883531895,0.056363465219577975,0.08397200601523444
credit,4804,attr_val,3064,64,score,6.2,0.02329152003290861,0.1532285037872712,0.2980699029149315
german,190,attr_val,78,41,score,6.3,0.0077779616883531895,0.056345616208469125,0.08397200601523444
credit,4804,attr_val,3064,64,score,6.3,0.023289215337745098,0.15331866702712788,0.29829091735216984
german,190,attr_val,78,41,score,6.4,0.007484311085883347,0.05623792202016308,0.08397200601523444
credit,4804,attr_val,3064,64,score,6.4,0.023289215337745098,0.15331866702712788,0.29829091735216984
german,190,attr_val,78,41,score,6.5,0.0077779616883531895,0.05646180361255148,0.08397200601523444
credit,4804,attr_val,3064,64,score,6.5,0.023289215337745098,0.15331866702712788,0.29829091735216984
german,190,attr_val,78,41,score,6.6,0.0076446905336451315,0.05597782425416584,0.08397200601523444
credit,4804,attr_val,3064,64,score,6.6,0.023289215337745098,0.15331866702712788,0.29829091735216984
german,190,attr_val,78,41,score,6.7,0.00761377954572597,0.05626637214665144,0.08397200601523444
credit,4804,attr_val,3064,64,score,6.7,0.023289215337745098,0.15331866702712788,0.29829091735216984
german,190,attr_val,78,41,score,6.8,0.0077779616883531895,0.05690922399392301,0.08397200601523444
credit,4804,attr_val,3064,64,score,6.8,0.023289215337745098,0.15331866702712788,0.29829091735216984
german,190,attr_val,78,41,score,7.2,0.0049419151754224195,0.04642549567617711,0.03167407950431905
credit,4804,attr_val,3064,64,score,7.2,0.023285427600034346,0.15324392251032457,0.2981269331444043
german,190,attr_val,78,41,score,7.3,0.004871347846691187,0.04689269517426626,0.03167407950431905
credit,4804,attr_val,3064,64,score,7.3,0.023277289324841157,0.1531807743091019,0.2980043423950001
german,190,attr_val,78,41,score,7.4,0.004814479796376434,0.04771659791037801,0.03167407950431905
credit,4804,attr_val,3064,64,score,7.4,0.023277289324841157,0.1531807743091019,0.2980043423950001
german,190,attr_val,78,41,score,7.5,0.0049419151754224195,0.04708104474624441,0.03167407950431905
credit,4804,attr_val,3064,64,score,7.5,0.023277289324841157,0.1531807743091019,0.2980043423950001
german,190,attr_val,78,41,score,7.6,0.004901411445412529,0.04803149540356294,0.03167407950431905
credit,4804,attr_val,3064,64,score,7.6,0.023277289324841157,0.1531807743091019,0.2980043423950001
german,190,attr_val,78,41,score,7.7,0.004862348093187645,0.04701706911487293,0.03167407950431905
credit,4804,attr_val,3064,64,score,7.7,0.023277289324841157,0.1531807743091019,0.2980043423950001
german,190,attr_val,78,41,score,7.8,0.004848594353022002,0.047250615027087266,0.03167407950431905
credit,4804,attr_val,3064,64,score,7.8,0.023277289324841157,0.1531807743091019,0.2980043423950001
