Dataset,User_N,SensitiveATT,Pro_N,Pro_percent,TargetAtt,Alpha,rKL,rND,rRD
german,190,attr_val,78,41,score,2.7,0.05337131240138096,0.21598798323634905,0.0
credit,4870,attr_val,3112,64,score,2.7,0.012661507434674726,0.1110805285722741,0.22126727370861848
german,190,attr_val,78,41,score,2.8,0.052135482760517805,0.2229237223732815,0.0
credit,4870,attr_val,3112,64,score,2.8,0.012661507434674726,0.1110805285722741,0.22126727370861848
german,190,attr_val,78,41,score,3.2,0.050169037065711554,0.21553403370323654,0.0
credit,4870,attr_val,3112,64,score,3.2,0.012727309153267086,0.11214305840689527,0.22361682859934948
german,190,attr_val,78,41,score,3.3,0.05348506949842389,0.22069768185445335,0.0
credit,4870,attr_val,3112,64,score,3.3,0.012678949320222763,0.11155649555951987,0.22234166268113859
german,190,attr_val,78,41,score,3.4,0.052874892363584204,0.2216754239714311,0.0
credit,4870,attr_val,3112,64,score,3.4,0.012678949320222763,0.11155649555951987,0.22234166268113859
german,190,attr_val,78,41,score,3.5,0.05348506949842389,0.22090656091267727,0.0
credit,4870,attr_val,3112,64,score,3.5,0.012678949320222763,0.11155649555951987,0.22234166268113859
german,190,attr_val,78,41,score,3.6,0.05348506949842389,0.2227857533648758,0.0
credit,4870,attr_val,3112,64,score,3.6,0.012678949320222763,0.11155649555951987,0.22234166268113859
german,190,attr_val,78,41,score,3.7,0.052204469077803524,0.21994038407553218,0.0
credit,4870,attr_val,3112,64,score,3.7,0.012678949320222763,0.11155649555951987,0.22234166268113859
german,190,attr_val,78,41,score,3.8,0.05348506949842389,0.2185886911974212,0.0
credit,4870,attr_val,3112,64,score,3.8,0.012678949320222763,0.11155649555951987,0.22234166268113859
german,190,attr_val,78,41,score,4.2,0.05090794094118215,0.21780705066927764,0.0
credit,4870,attr_val,3112,64,score,4.2,0.012744477328199971,0.11233791275198746,0.2239802807355572
german,190,attr_val,78,41,score,4.3,0.05186035077709773,0.21779169510141377,0.0
credit,4870,attr_val,3112,64,score,4.3,0.012733950954971356,0.11228768529765787,0.22389408726178656
german,190,attr_val,78,41,score,4.4,0.052387352124130065,0.2172006788468218,0.0
credit,4870,attr_val,3112,64,score,4.4,0.012733950954971356,0.11228768529765787,0.22389408726178656
german,190,attr_val,78,41,score,4.5,0.05335709590432597,0.2234203270944019,0.0
credit,4870,attr_val,3112,64,score,4.5,0.012733950954971356,0.11228768529765787,0.22389408726178656
german,190,attr_val,78,41,score,4.6,0.05348506949842389,0.22180867654029904,0.0
credit,4870,attr_val,3112,64,score,4.6,0.012733950954971356,0.11228768529765787,0.22389408726178656
