Dataset,User_N,SensitiveATT,Pro_N,Pro_percent,TargetAtt,Alpha,rKL,rND,rRD
german,50,attr_val,17,34,score,DTC14,0.015877640406327838,0.11832336899253713,0.0
credit,50,attr_val,27,54,score,DTC14,0.10078955102730401,0.2565174188131398,0.022104480107128968
german,50,attr_val,17,34,score,DIC14,0.015877640406327838,0.11738789094496031,0.0
credit,50,attr_val,27,54,score,DIC14,0.10078955102730401,0.2565174188131398,0.022104480107128968
german,50,attr_val,15,30,score,DPC15,0.011248905795168225,0.07830220213796205,0.06001452215485215
credit,50,attr_val,27,54,score,DPC15,0.027435720447566897,0.14538058352657496,0.21051347450349472
german,50,attr_val,15,30,score,DTC15,0.011248905795168225,0.07830220213796205,0.06001452215485215
credit,50,attr_val,27,54,score,DTC15,0.027435720447566897,0.14538058352657496,0.21051347450349472
german,50,attr_val,15,30,score,DIC15,0.011248905795168225,0.07830220213796205,0.06001452215485215
credit,50,attr_val,27,54,score,DIC15,0.027435720447566897,0.14538058352657496,0.21051347450349472
german,50,attr_val,18,36,score,DPC16,0.04747382387079683,0.19401881075522354,0.0
credit,50,attr_val,34,68,score,DPC16,0.10789943522878334,0.3025494645342363,0.0
german,50,attr_val,18,36,score,DTC16,0.04747382387079683,0.19554530253317112,0.0
credit,50,attr_val,34,68,score,DTC16,0.07260056156869472,0.3025494645342363,0.0
german,50,attr_val,18,36,score,DIC16,0.042558164798766514,0.17723224265546106,0.0
credit,50,attr_val,34,68,score,DIC16,0.07277731561807604,0.3025494645342363,0.0
german,50,attr_val,19,38,score,DPC17,0.01864928079483871,0.12736035030263515,0.0
credit,50,attr_val,32,64,score,DPC17,0.007204359413982053,0.11221713302657053,0.06288982409559488
german,50,attr_val,19,38,score,DTC17,0.01864928079483871,0.12835284047785311,0.0
credit,50,attr_val,32,64,score,DTC17,0.007428574301917668,0.11221713302657053,0.06288982409559488
german,50,attr_val,19,38,score,DIC17,0.01864928079483871,0.12600234543663266,0.0
credit,50,attr_val,32,64,score,DIC17,0.008834642299702294,0.11221713302657053,0.06288982409559488
german,50,attr_val,19,38,score,DPC18,0.020704578899066208,0.11707468374660006,0.0
credit,50,attr_val,26,52,score,DPC18,0.0255418960501453,0.19573483125580665,0.21615560264200193
german,50,attr_val,19,38,score,DTC18,0.020704578899066208,0.11368239099052074,0.0
credit,50,attr_val,26,52,score,DTC18,0.0255418960501453,0.19573483125580665,0.21615560264200193
german,50,attr_val,19,38,score,DIC18,0.020704578899066208,0.11525859022364839,0.0
credit,50,attr_val,26,52,score,DIC18,0.0255418960501453,0.19573483125580665,0.21615560264200193
german,50,attr_val,19,38,score,DPC19,0.045746753276828284,0.22623198855398605,0.0
credit,50,attr_val,30,60,score,DPC19,0.06389838656361285,0.2404359185062364,0.0
german,50,attr_val,19,38,score,DTC19,0.045746753276828284,0.21650863136766313,0.0
credit,50,attr_val,30,60,score,DTC19,0.06389838656361285,0.2404359185062364,0.0
german,50,attr_val,19,38,score,DIC19,0.045746753276828284,0.21989905232783977,0.0
credit,50,attr_val,30,60,score,DIC19,0.06389838656361285,0.2404359185062364,0.0
german,50,attr_val,18,36,score,DPC20,0.1288441461412333,0.3154254520653256,0.0
credit,50,attr_val,32,64,score,DPC20,0.13640524764050294,0.3489921983919768,0.0
german,50,attr_val,18,36,score,DTC20,0.1288441461412333,0.32298954402137803,0.0
credit,50,attr_val,32,64,score,DTC20,0.10856027416109142,0.3489921983919768,0.0
german,50,attr_val,18,36,score,DIC20,0.1288441461412333,0.31790714112041707,0.0
credit,50,attr_val,32,64,score,DIC20,0.11023737830492297,0.3489921983919768,0.0
german,50,attr_val,17,34,score,DPC21,0.015877640406327838,0.11927387668451078,0.0
credit,50,attr_val,33,66,score,DPC21,0.02403060893547968,0.17576479469488435,0.03910807983476746
german,50,attr_val,17,34,score,DTC21,0.015877640406327838,0.11832336899253713,0.0
credit,50,attr_val,33,66,score,DTC21,0.025969088556326615,0.17576479469488435,0.03910807983476746
german,50,attr_val,17,34,score,DIC21,0.015877640406327838,0.12122145348099594,0.0
credit,50,attr_val,33,66,score,DIC21,0.027961557694781224,0.17576479469488435,0.03910807983476746
german,50,attr_val,17,34,score,DPC22,0.013531252981206813,0.1024157345987903,0.05864740998662237
credit,50,attr_val,29,58,score,DPC22,0.050949913325195224,0.23236090571152634,0.3773272723733728
german,50,attr_val,17,34,score,DTC22,0.013531252981206813,0.1024157345987903,0.05864740998662237
credit,50,attr_val,29,58,score,DTC22,0.050949913325195224,0.23236090571152634,0.3773272723733728
german,50,attr_val,17,34,score,DIC22,0.013531252981206813,0.10323845410334921,0.05864740998662237
credit,50,attr_val,29,58,score,DIC22,0.050949913325195224,0.23236090571152634,0.3773272723733728
german,50,attr_val,17,34,score,DPC23,0.03031698854307569,0.16963761262716734,0.0
credit,50,attr_val,30,60,score,DPC23,0.13117772865823912,0.24428695515122936,0.03626827374805547
german,50,attr_val,17,34,score,DTC23,0.03031698854307569,0.17240755930239532,0.0
credit,50,attr_val,30,60,score,DTC23,0.13117772865823912,0.24428695515122936,0.03626827374805547
german,50,attr_val,17,34,score,DIC23,0.03031698854307569,0.17240755930239532,0.0
credit,50,attr_val,30,60,score,DIC23,0.1302523862098232,0.24428695515122936,0.03626827374805547
german,50,attr_val,18,36,score,DPC24,0.050638628533096995,0.20824604163936747,0.0
credit,50,attr_val,28,56,score,DPC24,0.035862025231810826,0.19461045893392667,0.0
german,50,attr_val,18,36,score,DTC24,0.050638628533096995,0.21157528514868723,0.0
credit,50,attr_val,28,56,score,DTC24,0.035862025231810826,0.19461045893392667,0.0
german,50,attr_val,18,36,score,DIC24,0.050638628533096995,0.20501994963098222,0.0
credit,50,attr_val,28,56,score,DIC24,0.035862025231810826,0.19461045893392667,0.0
german,50,attr_val,19,38,score,DPC25,0.03406087978278749,0.178064387709854,0.0
credit,50,attr_val,27,54,score,DPC25,0.12084167766847888,0.3593767352516333,0.0
german,50,attr_val,19,38,score,DTC25,0.03406087978278749,0.16871862690010772,0.0
credit,50,attr_val,27,54,score,DTC25,0.12084167766847888,0.3593767352516333,0.0
german,50,attr_val,19,38,score,DIC25,0.03406087978278749,0.17136885108536778,0.0
credit,50,attr_val,27,54,score,DIC25,0.12084167766847888,0.3593767352516333,0.0
german,50,attr_val,18,36,score,DPC26,0.08440691236914889,0.28405649978319947,0.0
credit,50,attr_val,28,56,score,DPC26,0.01665189426460402,0.13704167013005608,0.1813848725070242
german,50,attr_val,18,36,score,DTC26,0.08440691236914889,0.28405649978319947,0.0
credit,50,attr_val,28,56,score,DTC26,0.017347807951581477,0.13704167013005608,0.1813848725070242
german,50,attr_val,18,36,score,DIC26,0.08440691236914889,0.29313896061403744,0.0
credit,50,attr_val,28,56,score,DIC26,0.01601396102129633,0.13704167013005608,0.1813848725070242
german,50,attr_val,16,32,score,DPC27,0.039965347725117784,0.18621585604100233,0.0
credit,50,attr_val,27,54,score,DPC27,0.009403720125500942,0.1081299072914754,0.014843067029490805
german,50,attr_val,16,32,score,DTC27,0.039965347725117784,0.18922254650577655,0.0
credit,50,attr_val,27,54,score,DTC27,0.009403720125500942,0.1081299072914754,0.014843067029490805
german,50,attr_val,16,32,score,DIC27,0.039965347725117784,0.18922254650577655,0.0
credit,50,attr_val,27,54,score,DIC27,0.005737875135577395,0.07671865320293186,0.014843067029490805
german,50,attr_val,19,38,score,DPC28,0.030871248374799366,0.1562361981439899,0.0
credit,50,attr_val,27,54,score,DPC28,0.007014725277752061,0.09444582661130585,0.04066391323477352
german,50,attr_val,19,38,score,DTC28,0.030871248374799366,0.15623619814398992,0.0
credit,50,attr_val,27,54,score,DTC28,0.007404768151251815,0.09444582661130585,0.04066391323477352
german,50,attr_val,19,38,score,DIC28,0.030871248374799366,0.15457029885256124,0.0
credit,50,attr_val,27,54,score,DIC28,0.007385680432445959,0.09444582661130585,0.04066391323477352
german,50,attr_val,19,38,score,DPC29,0.030871248374799366,0.15576188739171784,0.0
credit,50,attr_val,26,52,score,DPC29,0.2507812336443728,0.4342545241326442,0.0
german,50,attr_val,19,38,score,DTC29,0.030871248374799366,0.15576188739171784,0.0
credit,50,attr_val,26,52,score,DTC29,0.2507812336443728,0.4342545241326442,0.0
german,50,attr_val,19,38,score,DIC29,0.030871248374799366,0.15869034893066886,0.0
credit,50,attr_val,26,52,score,DIC29,0.2507812336443728,0.4342545241326442,0.0
german,50,attr_val,20,40,score,DPC30,0.08132459999467927,0.2639465857764522,0.0
credit,50,attr_val,31,62,score,DPC30,0.11574451438134167,0.2810440398127607,0.08639527654740817
german,50,attr_val,20,40,score,DTC30,0.08132459999467927,0.2647525253964499,0.0
credit,50,attr_val,31,62,score,DTC30,0.10233183048886346,0.2810440398127607,0.08639527654740817
german,50,attr_val,20,40,score,DIC30,0.08132459999467927,0.2664436470313326,0.0
credit,50,attr_val,31,62,score,DIC30,0.1189480087785447,0.2810440398127607,0.08639527654740817
german,50,attr_val,16,32,score,DPC31,0.04123385279767812,0.17401196182506865,0.03090045999519713
credit,50,attr_val,29,58,score,DPC31,0.00136054565342311,0.04459303747003883,0.014866182550870893
german,50,attr_val,16,32,score,DTC31,0.04123385279767812,0.17401196182506865,0.03090045999519713
credit,50,attr_val,29,58,score,DTC31,0.00136054565342311,0.04459303747003883,0.014866182550870893
german,50,attr_val,16,32,score,DIC31,0.04123385279767812,0.17122481963169164,0.03090045999519713
credit,50,attr_val,29,58,score,DIC31,0.00136054565342311,0.04459303747003883,0.014866182550870893
