Dataset,User_N,SensitiveATT,Pro_N,Pro_percent,TargetAtt,Alpha,rKL,rND,rRD
german,50,attr_val,17,34,score,DTC10,0.01192761088069668,0.10238513141034142,0.05864740998662237
credit,50,attr_val,34,68,score,DTC10,0.007549999496356688,0.10511839883839191,0.22471660368025462
german,50,attr_val,17,34,score,DIC10,0.01192761088069668,0.10320760507533146,0.05864740998662237
credit,50,attr_val,34,68,score,DIC10,0.008905227254230071,0.10511839883839191,0.22471660368025462
german,50,attr_val,20,40,score,DPC11,0.01748181720280802,0.08965303129311913,0.12715373782529446
credit,50,attr_val,24,48,score,DPC11,0.010705824573468069,0.09659542472566293,0.15783599330351686
german,50,attr_val,20,40,score,DTC11,0.01748181720280802,0.0892354675974688,0.12715373782529446
credit,50,attr_val,24,48,score,DTC11,0.010705824573468069,0.09611096451223805,0.15783599330351686
german,50,attr_val,20,40,score,DIC11,0.01748181720280802,0.09118853614427996,0.12715373782529446
credit,50,attr_val,24,48,score,DIC11,0.010705824573468069,0.09611096451223802,0.15783599330351686
german,50,attr_val,20,40,score,DPC12,0.020961717028878328,0.14125634079931268,0.0
credit,50,attr_val,34,68,score,DPC12,0.03712403848206435,0.24159346020134784,0.0
german,50,attr_val,20,40,score,DTC12,0.020961717028878328,0.13821250465221774,0.0
credit,50,attr_val,34,68,score,DTC12,0.037455856644663055,0.24159346020134784,0.0
german,50,attr_val,20,40,score,DIC12,0.020961717028878328,0.14038283255928524,0.0
credit,50,attr_val,34,68,score,DIC12,0.05039064758367805,0.24159346020134784,0.0
german,50,attr_val,22,44,score,DPC13,0.12874840619855416,0.34645245955263304,0.0
credit,50,attr_val,30,60,score,DPC13,0.0693034350997567,0.2701941905714375,0.0
german,50,attr_val,22,44,score,DTC13,0.12874840619855416,0.34258078028954575,0.0
credit,50,attr_val,30,60,score,DTC13,0.06472553584118619,0.2701941905714375,0.0
german,50,attr_val,22,44,score,DIC13,0.12874840619855416,0.3475622681195336,0.0
credit,50,attr_val,30,60,score,DIC13,0.07670844844769593,0.2701941905714375,0.0
german,50,attr_val,19,38,score,DPC14,0.014109450421596259,0.10199835464388012,0.1817312773820265
credit,50,attr_val,26,52,score,DPC14,0.0204384890701703,0.1643034359323481,0.08229575979024628
german,50,attr_val,19,38,score,DTC14,0.014159601246128705,0.10199835464388012,0.1817312773820265
